862 124	Yan Zhang
1532 69047	Gordon V. Cormack
2110 69111	Douglas Johnson
1083 69177	Jaswinder Pal Singh
8550 69185	Sean C. Rhea
9985 69205	Vivek Sarkar
6347 69219	Pat Hanrahan
2320 69234	Mark Mitchell
9058 69262	Alaa R. Alameldeen
6290 69319	Ramendra K. Sahoo
9012 69345	Windsor W. Hsu
9722 69368	Steven W. Schlosser
9701 69369	Gregory R. Ganger
8355 69372	Xiaowei Jiang
9262 69388	Christopher B. Colohan
1824 69400	Xuanhui Wang
2663 69402	Shimin Chen
2776 69403	Phillip B. Gibbons
8937 69463	Christoph von Praun
9647 69497	Ioana Burcea
9031 69515	Sudhanva Gurumurthi
1124 69765	Peter G. Fairweather
3293 69857	Saikat Mukherjee
1977 69858	Michael Kifer
7940 69996	Siobhan Devlin
10111 70387	Marta Sabou
4016 70558	Nazim H. Madhavji
1278 71292	Hao He
7297 71298	Michael C. Burl
8125 71358	Charles K. Nicholas
5140 71394	Carlos Eisenberg
6937 71475	Stefan Holland
3355 71593	Aris Tsois
2944 71620	Avigdor Gal
5634 71711	Tod Milam
4350 71727	W. Nick Street
4926 71855	Donovan Artz
4734 71900	Matthew Rosencrantz
1134 71910	David Levine
10123 71951	Hongchi Shi
10124 71953	Su-Shing Chen
5725 72052	Scott A. Wallace
6039 72104	Brian Neil Levine
6760 72111	Kenichi Takahashi
5361 72214	Florin Constantin
4779 72223	Nicholas K. Jong
4197 72290	Chun-Yi Shi
7166 72309	Martin Strauss
4865 72317	Britton Wolfe
7574 72439	Alexiei Dingli
4711 72541	Sriraam Natarajan
4288 72610	Li Wei
6439 72617	Shengquan Wang
3778 72839	Floris Geerts
2966 73063	R. Jha
6620 73496	Yutaka Hata
2648 73611	Jianping Fan
9814 73695	Tian Xia
6761 73836	Hiroaki Ueda
4059 73985	Wei Zou
6297 74010	Bud Mishra
3990 74078	Chao Wang
7265 74085	Assaf Schuster
9921 74271	Harold W. Thimbleby
3604 74281	Zijian Zheng
6405 74355	Shane M. Butler
6174 74423	Feng Liang
4295 74503	Lifang Gu
4296 74504	Hongxing He
4297 74505	Simon Hawkins
6169 74506	Chris Kelman
2302 74558	Dorian Suc
6762 74597	Sachio Hirokawa
5354 74598	Rex Bing Hung Kwok
2215 74605	Mark Hall
2216 74606	Eibe Frank
2217 74739	Bernhard Pfahringer
3855 74760	Hyungil Kim
2772 74812	Sanjay Chawla
3994 74829	Yuefeng Li
1985 74841	Jie Lu
6834 75023	Unil Yun
2226 75059	Claude Sammut
1924 75154	Casey Whitelaw
2351 75195	Yuan Jiang
2172 75201	Peter Geibel
2218 75218	Richard Kirkby
5588 75224	Jochen Renz
3662 75256	Manoranjan Dash
6710 75279	Chao Liu
7173 75303	Klaus U. Schulz
6516 75317	Peter Christen
6517 75319	Tim Churches
1938 75352	Yuchang Gong
6788 75355	Warwick Graco
6600 75356	Sylvie Guillaume
6666 75368	Vijay S. Iyengar
6629 75400	Paul J. Kennedy
9658 75995	Qi Su
7601 76051	Chang Huang
7652 76143	Jonathan J. Cadiz
6885 76246	Stefano Rizzi
6059 76319	Yehuda Koren
3262 76331	Alexandra Poulovassilis
3842 76372	Mike Sips
3843 76436	Christian Panse
2381 76449	Norman W. Paton
7653 76499	Edward Cutrell
7654 76500	Raman Sarin
2981 76520	Tony Griffiths
2934 76608	Bharat Kumar
2935 76609	Daniel F. Lieuwen
7680 76863	Hui Fang
4119 76914	Edward Y. Chang
7187 77073	Carlos A. Hurtado
9966 77149	Lei Gao
4384 77192	Jiajin Huang
6922 77216	Bracha Shapira
6923 77217	Yuval Elovici
6924 77218	Omer Zaafrany
6150 77219	Abraham Kandel
8366 77228	Foto N. Afrati
2706 77755	Fran?oise Fabret
2707 77756	Patrick Valduriez
8455 77757	Fran?ois Dang Ngoc
1177 77758	Philippe Pucheral
1642 77763	Michel Scholl
9033 77775	Nicolas Anciaux
8827 77782	Bernd Amann
7111 77787	Omar Benjelloun
2400 77788	Ioana Manolescu
8342 77795	Gregory Cobena
2462 77800	Georges Gardarin
2597 77809	Nicoleta Preda
2484 77826	Jean-Marc Petit
2936 77836	Irini Fundulaki
9938 77839	Vassilis Christophides
5929 77844	Lotfi Lakhal
963 77845	Sihem Amer-Yahia
7098 77848	Luc Segoufin
2616 77849	Yannis Kotidis
9037 77859	Mihnea Andrei
9034 77869	Christophe Bobineau
2913 77875	Philippe Bonnet
2765 77900	Peter Buneman
5930 77918	Alain Casali
5931 77919	Rosine Cicchetti
2485 77925	St¨¦phane Lopes
2486 77927	Fabien De Marchi
9052 77941	Florin Dragan
8536 77956	Vincent Oria
2688 77979	J¨¦r?me Sim¨¦on
2743 77990	Am¨¦lie Marian
964 78004	Mary F. Fern¨¢ndez
1357 78006	Jaewoo Kang
9361 78010	Helena Galhardas
3376 78011	Dennis Shasha
1178 78012	Sa?da Medjdoub
9288 78014	Khaled Yagoub
2926 78015	Donald Kossmann
3530 78017	Fr¨¦d¨¦ric Flouvat
9289 78041	Mohamed Za?t
4800 78046	Fei Sha
2658 78075	Leonid Libkin
9689 78077	Guillaume Raschia
4098 78086	Viet Phan Luong
2401 78108	Andrei Arion
8883 78110	Yannis Papakonstantinou
2396 78113	Thomas Brinkhoff
10005 78118	Gregory Karvounarakis
10006 78119	Sofia Alexaki
2659 78121	Laurent Mignet
9162 78133	Brahim Medjahed
1643 78136	C¨¦dric du Mouza
1570 78139	Philippe Mulhem
6354 78149	ZhaoHui Tang
6162 78222	Douglas Stott Parker Jr.
3402 78278	Patricia G. Selinger
1870 78295	Kenneth C. Sevcik
8429 78296	Henry F. Korth
3365 78337	Bruce G. Lindsay
1345 78360	Vana Kalogeraki
1346 78362	Demetrios Zeinalipour-Yazti
8962 78364	Gregory C. Sharp
892 78526	Ming-Syan Chen
5002 78540	Aaron Davidson
3312 78614	Laura M. Haas
3143 78617	Peter M. Schwarz
3048 78624	Alexander Hinneburg
1902 78653	Anthony K. H. Tung
8691 78704	Liangyou Chen
3346 78726	Daxin Jiang
3080 78733	Tamer Kahveci
7318 78758	Matt Coatney
3686 78782	Michihiro Kuramochi
1594 78824	Henrique Paques
6982 78842	Alex Mitchell
6983 78843	Terri K. Attwood
2488 78869	Victor M. Markowitz
5880 78897	Robert F. Murphy
3232 78929	Jiong Yang
4788 78934	Tommi Jaakkola
8998 78945	Kevin Y. Yip
3256 78946	David W. Cheung
8730 78951	Abhijit Pol
3486 78964	Mohammed Javeed Zaki
1817 79032	Chun Tang
6101 79033	Murali Ramanathan
9253 79059	Sridhar Ramachandran
6106 79067	Ruoming Jin
3863 79069	Hannu Toivonen
4239 79071	Kari Vasko
6320 79072	Vesa Ollikainen
6321 79073	Petteri Sevon
7340 79166	Hyunsoo Kim
4027 79167	Haesun Park
3377 79206	Jason Tsong-Li Wang
1867 79256	Yu He
3740 79275	Steven Eschrich
1358 79287	Dongwon Lee
2445 79353	Stefan Sch?nauer
2810 79402	Jiejun Kong
1312 79448	Nazli Goharian
942 79449	Ophir Frieder
1890 79638	Hongyuan Zha
4948 79853	Sebastian Brandt
8006 80164	Martin Franz
3007 80761	Frank Hoffmann
6010 81587	Zengjian Hu
3668 81653	Christian Baumgartner
3493 81687	Xianghong Jasmine Zhou
2178 81899	Liviu Badea
7115 82054	Gabriel M. Kuper
3588 82087	Amihood Amir
8713 82132	Paul Brown
2799 82133	Peter J. Haas
1207 82134	Jussi Myllymaki
1679 82135	Hamid Pirahesh
8449 82136	Berthold Reinwald
3412 82137	Yannis Sismanis
2489 82182	I-Min A. Chen
7219 82270	Rosalba Giugno
1019 82275	Marcos Andr¨¦ Gon?alves
9583 82333	Susanne E. Hambrusch
4445 82368	Justin Basilico
1396 82448	Martin Pfeifle
2723 82449	Marco P?tke
2446 82450	Thomas Seidl
906 82524	Jeffrey F. Naughton
9600 82541	Thomas Schwarz
7732 82577	Carol Peters
9549 82666	Hans-Peter Steiert
2361 82733	Carlo Zaniolo
3331 82738	Xuan Zhou
6505 82876	Jing Gao
10051 83051	Ljiljana Stojanovic
4013 83326	Aristides Gionis
5510 83826	Geoff Nitschke
4432 83848	Hendrik Blockeel
3779 83852	Bart Goethals
6034 83853	Eveline Hoekx
1617 83863	Gilad Mishne
4159 83881	Petri Myllym?ki
1528 83916	Wang-Chien Lee
8558 83922	Kajal T. Claypool
9209 83948	Leonard Brown
939 84010	Henk Ernst Blok
9141 84014	Peter A. Boncz
3263 84020	Peter McBrien
9180 84029	Svein Erik Bratsberg
2442 84031	Henrik Engstr?m
2443 84032	Brian Lings
2796 84037	Mal¨² Castellanos
2683 84049	Michal Ceresna
2684 84052	Marcus Herzog
9841 84058	Christian Garcia-Arellano
1964 84060	Edward L. Robertson
2982 84072	Seung-Hyun Jeong
2983 84073	Nassima Djafri
9142 84077	Torsten Grust
2790 84081	Amarnath Gupta
2479 84093	Wolfgang Mahnke
2937 84107	Arnaud Sahuguet
1118 84108	Ming Xiong
1034 84145	Alberto H. F. Laender
1871 84158	Calisto Zuzarte
3356 84159	Volker Markl
8952 84164	Niels Nes
3189 84165	Carson Kai-Sang Leung
3320 84166	Thomas Neumann
2719 84167	Sven Helmer
3148 84172	Wenxin Liang
3149 84173	Haruo Yokota
7008 84215	Sergei O. Kuznetsov
9143 84216	Stefan Manegold
7495 84248	Xiao Mang Shou
8423 84275	Gavin M. Bierman
3991 84279	Adriano Veloso
7066 84280	Bruno Gusm?o Rocha
7067 84281	M¨¢rcio de Carvalho
9974 84282	Raphael Volz
9879 84294	Peter T. Wood
1966 84298	Chenyi Xia
8602 84309	Thomas Zurek
3352 84310	Roelof van Zwol
1135 84338	Leonidas Fegaras
3026 84351	Yang-Sae Moon
7497 84353	Sebastian Michel
8705 84362	Dan Lin
9573 84489	Alejandro A. Vaisman
8410 84525	Silvana Castano
6673 84561	Gerrit K. Janssens
3372 84682	Ulrich Kreher
10027 85564	Purushottam Kulkarni
8657 85771	Michael Gillmann
8755 85806	J¨¹rgen Kr?mer
2573 85807	Bernhard Seeger
2104 85811	Norbert Fuhr
2465 85814	Achim Kraiss
8685 85843	Arnon Rosenthal
2466 85846	Uwe Deppisch
1962 85853	Dirk Van Gucht
3357 85855	Frank Ramsak
9106 85860	Peter Baumann
2376 85873	Hong Hai Do
9313 85877	Jost Enderle
7498 85883	Matthias Bender
7499 85884	Christian Zimmer
3157 85897	Stefan Berchtold
1858 85913	Martin Ester
1859 85918	Xiaowei Xu
9706 85927	Bj?rn Blohsfeld
2724 85957	Stefan Brecheisen
9283 85965	Goetz Graefe
9369 85966	Jens Graupmann
9370 85967	Michael Biwer
9371 85968	Patrick Zimmer
4183 85981	Arno Siebes
3029 85990	Johannes Klein
3111 86000	Markus Keidl
3112 86001	Alexander Kreutz
2670 86002	Ming-Chuan Wu
2467 86006	Frank Sch?n
1281 86022	Klaudia Hergula
1956 86025	Sam Lightstone
2990 86026	K. Bernhard Schiefer
9842 86027	Adam J. Storm
9493 86077	Angelika Reiser
8869 86117	Jim Kleewein
8820 86133	Sergey Melnik
9474 86148	Stefanie Scherzinger
1768 86195	Stefan Siersdorfer
1769 86196	Sergej Sizov
3358 86200	Roland Pieringer
3359 86201	Klaus Elhardt
3360 86202	Robert Fenk
2507 86203	Anja Theobald
3030 86217	Hansj?rg Zeller
9144 86232	Jan Rittinger
2119 86236	Thomas R?lleke
2735 86263	Andre Zeitz
2948 86264	Bernhard Zeller
9494 86321	Richard Kuntschke
9145 86323	Jens Teubner
3415 86345	Martin Theobald
2508 86346	Ralf Schenkel
9781 86359	Andreas Thor
9550 86363	Christian Mathis
5976 86367	Jens-Peter Dittrich
9300 86368	Lukas Blunschi
9301 86372	Marcos Antonio Vaz Salles
3562 86373	Elke Achtert
4448 86398	Tomer Hertz
7363 86473	Hyuk Cho
2951 86729	Dmitry Lenkov
8627 87062	Ming C. Lin
8628 87063	Dinesh Manocha
989 87329	Andrei Z. Broder
2588 87481	Jennifer Widom
5171 87926	Quang Huy Nguyen
4914 87947	Philippe Chatalic
4915 87948	Laurent Simon
8584 88178	David Toman
5709 88187	Dmitry Tsarkov
7099 88200	Thomas Schwentick
2114 88531	Rafael Berlanga Llavori
5671 88541	Alvaro Soto
2034 88621	Eva Lorenzo Iglesias
6545 88970	Qiang Ding
1716 88971	William Perrizo
6546 88972	Qin Ding
7028 89067	Fei Pan
1717 89069	Dongmei Ren
7029 89070	Xin Hu
6835 89095	John J. Leggett
7730 89464	Yihong Gong
6491 89721	Hang Yu
4624 89828	Krzysztof Krawiec
8686 90419	Dina Bitton
1055 90476	Corsin Decurtins
3008 90499	Dirk Ansorge
9130 90529	Daniela Berardi
8648 90619	Marco Ruzzi
3389 90642	Mehmet Sayal
2987 90665	Euthimios Panagos
3164 90666	Michael Rabinovich
8097 90673	Michael Christoffel
1035 90697	Altigran Soares da Silva
9326 90702	Elio Masciari
6910 90703	Andrea Tagarelli
9340 90709	Enrico Franconi
9341 90711	Andrei Lopatenko
9399 90713	Leonidas Galanis
8551 90714	Shawn R. Jeffery
8319 90715	David J. DeWitt
1260 90768	Klaus Haller
8945 90824	Xiaowei Sun
9245 90866	Chin-Wan Chung
7570 90889	Raman Chandrasekar
1219 90913	Xiaoyang Sean Wang
10080 90935	Alexander L?ser
3384 90947	Neal Sample
8725 90955	Monica Scannapieco
1056 90994	Beat Signer
3166 91118	Georgia Koutrika
2454 91160	Sylvie Servigne
8055 91250	Harris Wu
7587 91294	Raluca Paiu
8958 91315	Melanie Weis
3260 91462	Norman May
6047 91537	D. Sivakumar
6243 91879	Dhabaleswar K. Panda
3273 91948	Ibrahim Kamel
8963 92500	Hiroki Shirato
4194 92692	Jonathan Stoeckel
9671 92727	Lei Jiang
6478 92777	Jonathan Tang
8464 94882	Ivan T. Bowman
1957 94943	Kelly A. Lyons
6129 94948	Edwin M. Knorr
2807 94949	Raymond T. Ng
1285 95002	Balakrishna R. Iyer
9065 95019	Yuri Breitbart
4017 95020	Tilmann F. W. Bruckhaus
6291 95077	Jos¨¦ E. Moreira
2429 95103	George T. Heineman
1366 95146	Diane Kelly
1958 95186	Guy M. Lohman
8559 95187	Harumi A. Kuno
2633 95268	Walid Rjaibi
3811 95289	Robert L. Grossman
9723 95334	Minglong Shao
7425 95378	Elaine G. Toms
7721 95379	Luanne Freund
7426 95381	Joan C. Bartlett
3438 95425	Jean Hou
1959 95439	Daniel C. Zilio
2634 95441	Paul Bird
1502 95491	Wen-Chi Hou
8473 95521	Aldo Bongio
1598 96069	June-Suh Cho
1503 96099	Zhewei Jiang
1718 96137	Imad Rahal
1504 96233	Cheng Luo
3500 96317	King-Ip Lin
1996 96479	Kamal Ali
9977 97044	Suhit Gupta
3298 97289	Ying Hu
5088 97440	Hana Chockler
1147 97600	Yehoshua Sagiv
978 97623	Rani Nelken
5096 97705	Roberto Cavada
3348 97945	Sudarshan S. Chawathe
3559 97986	Krishnamoorthy Sivakumar
3635 98066	Francesco Bonchi
7011 98330	Akira Tanaka
8507 98422	Seung-won Hwang
1590 98517	Vasileios Megalooikonomou
5843 98589	Mark J. Embrechts
4289 98651	Helga Van Herle
8571 98765	Paolo Merialdo
1230 98863	Dunja Mladenic
3805 98877	Julien Prados
3806 98878	Alexandros Kalousis
6445 98896	Ruofei Zhang
5968 99023	Edward Herskovits
3829 99224	Nitin Kumar
7359 99225	Venkata Nishanth Lolla
3936 99226	Chotirat (Ann) Ratanamahatana
4210 99386	Wei-Guang Teng
5459 99420	Kenneth McGarry
3975 99450	Fabrizio Silvestri
3885 99508	Sebastian Wurst
10138 99604	Li Xiong
9829 99919	Long Zhang
9910 100045	Janet L. Wiener
3211 100107	Vincenzo Liberatore
9895 100282	Paolo Boldi
7824 100334	Marc J. van Kreveld
6160 100560	Jon M. Kleinberg
4610 100588	S. Sathiya Keerthi
3274 100595	Khaled M. Elbassioni
4345 100649	Ravi Janardan
3589 100760	Nathan S. Netanyahu
1580 100761	Christine D. Piatko
2930 100777	Leonidas Palios
2696 100800	Ralf Hartmut G¨¹ting
8752 100842	Yunyue Zhu
2600 100957	Win Bausch
1729 101129	Kurt Stockinger
913 101151	Farnoush Banaei Kashani
3930 101401	Yi Huang
8205 101422	Johan A. Pouwelse
1347 101467	Dimitrios Gunopulos
8941 101634	Tobias Mayr
2433 101635	Johannes Gehrke
2382 101672	M. Nedim Alpdemir
6244 101690	Sundeep Narravula
7266 101833	Ran Wolff
3983 101859	Stephen Scott
1513 101913	Ingo J. Timm
6292 102260	Adam J. Oliner
7319 102428	David Thompson
2366 102514	Rakesh Agrawal
9112 102525	Duminda Wijesekera
2945 102551	Vijayalakshmi Atluri
890 102597	Barbara Carminati
2995 102667	Ting Yu
1903 102678	Nan Wang
1202 102764	Beverly Yang
3247 102777	Xiaosong Ma
2548 102778	William Shapiro
2549 102779	Radek Vingralek
10028 102794	Weibo Gong
7103 102863	Frank McSherry
3120 102874	Jaideep Vaidya
1529 102910	Bo Luo
6476 102919	Hui Xiong
4949 102934	Ralf K¨¹sters
7095 102935	Thomas Wilke
6274 103092	Sridhar Ramaswamy
1533 103687	Thomas R. Lynam
4398 103688	Ron Bekkerman
1380 103703	Aleksander Kolcz
6132 103704	Joshua Alspector
5738 103768	Krzysztof Gajos
2567 103910	Hu Cao
7040 104281	C¨¦line Robardet
5085 104292	J¨¦r?me Fuselier
6961 104295	J¨¦r¨¦mie Mary
6962 104316	Antoine Cornu¨¦jols
6511 104321	Ghada Gasmi
5003 104361	Terence Schauenberg
6092 104392	Martin Mozina
5007 104722	Kin Chuen Hui
2931 104930	Ioannis Fudos
4830 105290	Marc Toussaint
7418 105442	Yuqing Song
9254 105796	Sanjay E. Sarma
5739 105997	Steven A. Wolfman
10089 106312	Alan F. Blackwell
3675 106344	Krishna Bharat
10105 106386	Kenneth P. Fishkin
7690 106551	Marc Najork
6337 106621	Orkut Buyukkokten
7655 106630	Gavin Jancke
7957 106634	Judith Klein-Seetharaman
1626 106724	Sriram Mohan
7659 106955	Susan Dziadosz
1152 107800	Kenneth R. Wood
7602 107932	Neema Moraveji
1339 107961	Harry Bruce
7744 108125	Jussi Karlgren
3341 108161	Jesper Pedersen
5233 108276	Masataka Goto
8920 108365	Vineet Sinha
5921 108401	Andrew Tomkins
6775 108436	Joseph Lee
4331 108514	Kiyoung Yang
994 108699	Arnon Amir
10090 108801	Kerry Rodden
7695 108901	Robert K. France
1722 109721	Michael J. Taylor
4753 109729	Jaime Teevan
4936 109730	Christine Alvarado
5746 109995	Daniel H. Wilson
8056 110028	Michael D. Gordon
3676 110081	Bay-Wei Chang
9680 110102	Angel Janevski
8706 110155	Yaxiao Song
10063 110222	Saverio Perugini
3844 110679	Stephen C. North
2234 110908	Andreas Dengel
10106 111002	Donald J. Patterson
7484 111295	Ronny Lempel
979 111296	Aya Soffer
7550 111297	Yo?lle S. Maarek
2426 111328	Christos Tryfonopoulos
9342 111354	Ilya Zaihrayeu
2736 111356	Ilvio Bruder
3763 111414	Paolo Ferragina
4698 111938	Eduardo F. Morales
5956 112422	Alan Wagner
1374 112479	Won-Young Kim
7932 112737	Baoli Li
7954 112879	Takeshi Masuyama
7834 112955	Gil-Chang Kim
5266 112958	Zhiqiang Cai
7859 113014	Hee-Cheol Seo
7700 113042	Haoliang Qi
9672 113093	Iluju Kiringa
8040 113099	David Pinto
9634 113155	Christopher Olston
8814 113156	Amit Manjhi
2638 113161	Sanjay Agrawal
2639 113162	Surajit Chaudhuri
1564 113168	Zaiqing Nie
3133 113170	Ander de Keijzer
8474 113177	Roberto Acerbis
8578 113185	Mirek Riedewald
5891 113187	Walker M. White
2569 113190	Jignesh M. Patel
8513 113192	Sirish Chandrasekaran
8514 113193	Owen Cooper
2896 113194	Amol Deshpande
8393 113195	Sailesh Krishnamurthy
2897 113196	Samuel Madden
3194 113197	Vijayshankar Raman
8515 113198	Mehul A. Shah
8325 113199	Daniel J. Abadi
9290 113200	Karl Dias
6326 113206	Fei Chen 0002
8768 113207	Yoonkyong Lee
9177 113208	Douglas Burdick
3404 113209	Adam Silberstein
2589 113211	Kamesh Munagala
8326 113212	Mitch Cherniack
8407 113213	Hari Balakrishnan
3066 113214	Magdalena Balazinska
8327 113215	Donald Carney
8328 113216	Ying Xing
3018 113217	Mohamed Y. Eltabakh
2438 113218	Walid G. Aref
8619 113229	Andreas Gr¨¹nhagen
8492 113232	Xin Luna Dong
2664 113233	Roger S. Barga
8663 113234	Jonathan Goldstein
3019 113235	Mohamed H. Ali
6633 113236	Mingsheng Hong
9388 113238	Florian Haftmann
3015 113239	Zachary G. Ives
3016 113240	Igor Tatarinov
1119 113243	Minos N. Garofalakis
8552 113244	Boon Thau Loo
8553 113248	Ryan Huebsch
8554 113249	Scott Shenker
8555 113250	Ion Stoica
3035 113252	Bingsheng He
3511 113253	Nitin Khandelwal
8528 113260	Ravishankar Ramamurthy
9050 113261	Bogdan Alexe
2590 113265	Shivnath Babu
8320 113266	Pedro Bizarro
8430 113267	Xin Dong
7128 113269	Arvind Arasu
2586 113270	Brian Babcock
8317 113271	Chris Olston
8310 113272	Justin Rosenstein
8903 113277	Shariq Rizvi
9271 113278	Eugene Wu 0002
9272 113279	Anil Edakkunni
8785 113280	Vassilis Papadimos
8786 113281	Kristin Tufte
2671 113285	Conor Cunningham
9625 113286	Leo Giakoumakis
1274 113289	Kevin Chen-Chuan Chang
7500 113290	Peter Triantafillou
8373 113293	Yanif Ahmad
3067 113294	Jeong-Hyon Hwang
8329 113295	Anurag Maskey
3068 113296	Alex Rasin
9091 113297	Esther Ryvkina
8330 113298	Nesime Tatbul
9072 113299	Gagan Aggarwal
9073 113300	Mayank Bawa
8525 113301	Prasanna Ganesan
9074 113302	Krishnaram Kenthapadi
7227 113303	Utkarsh Srivastava
9075 113304	Dilys Thomas
2853 113310	Aravind Yalamanchi
2854 113311	Jagannathan Srinivasan
2952 113312	Dieter Gawlick
8984 113315	Laura Bright
9529 113316	Bishwaranjan Bhattacharjee
3366 113318	Jun Rao
4281 113321	Bei Yu
3055 113333	Bill Howe
2427 113334	Stratos Idreos
1692 113607	Byron Dom
884 113608	Yuanyuan Jia
885 113609	Bruce Lambert
886 113610	Patricia M. West
946 113611	James Allan
1535 113613	Ling Ma
902 113614	David A. Grossman
3545 113618	Philip K. Chan
893 113619	Cheng-Yue Chang
5954 113621	Joong Hyuk Chang
895 113622	Javed A. Aslam
896 113623	Emine Yilmaz
898 113631	Virgiliu Pavlu
899 113632	Robert Savell
7874 113634	Leah S. Larkey
903 113636	Steven M. Beitzel
904 113637	Eric C. Jensen
907 113638	Ashraf Aboulnaga
3195 113640	Vishal S. Batra
2649 113646	Moustafa A. Hammad
2439 113647	Ahmed K. Elmagarmid
1371 113648	Charu C. Aggarwal
9080 113652	Abdelsalam Helal
916 113653	Eugene Agichtein
919 113657	Vivek Vedagiri
920 113658	Amey V. Laud
923 113662	Shurug Al-Khalifa
926 113664	Khalid Al-Kofahi
927 113665	Alex Tyrrell
928 113666	Arun Vachher
929 113667	Tim Travers
933 113670	Sabrina Recla
940 113672	Franciska de Jong
943 113673	Mohammed Aljlayl
8477 113674	Markus M. Breunig
947 113675	Ao Feng
948 113676	Alvaro Bolivar
7876 113678	Victor Lavrenko
952 113683	Jeffrey A. Bloom
954 113684	Razvan Stefan Bot
955 113685	Yi-fang Brook Wu
958 113686	Quanzhi Li
965 113687	Rick Greer
966 113688	Divesh Srivastava
970 113689	Chavdar Botev
971 113690	Marcus Fontoura
972 113691	Eugene J. Shekita
8184 113693	Anastasios Tombros
976 113696	Renu Tewari
980 113698	Einat Amitay
981 113699	Wayne Niblack
982 113700	Ron Sivan
8670 113701	Tolga Bozkaya
990 113706	Michael Herscovici
991 113707	Jason Y. Zien
995 113712	Eric W. Brown
996 113713	Anni Coden
997 113714	Dulce B. Ponceleon
998 113715	James W. Cooper
999 113716	Jan Pieper
1001 113718	Jeanette Bruno
1007 113730	Stefan B¨¹ttcher
1010 113733	Lijuan Cai
1013 113735	Ben He
2150 113737	C. J. van Rijsbergen
1017 113738	Jing Bai
1020 113739	P¨¢vel Calado
1021 113740	Marco Cristo
1022 113741	Edleno Silva de Moura
1023 113742	Nivio Ziviani
1024 113743	Berthier A. Ribeiro-Neto
1027 113744	Chuck Baldwin
1028 113745	Ghaleb Abdulla
1031 113748	Mark Sanderson
1036 113749	Juliano Palmieri Lage
1037 113750	Davi de Castro Reis
1038 113751	Pablo A. Roberto
1039 113752	Monique V. Vieira
1043 113753	Prasan Roy
1045 113754	Deepayan Chakrabarti
1046 113755	Christos Faloutsos
1048 113756	Rodrigo C. Vieira
1052 113757	Yew Kwong Woon
2490 113766	Anthony Kosky
7711 113767	Aitao Chen
1059 113768	Hung-Chen Chen
1062 113770	Christine T. Cheng
1065 113772	Kurt W. Deschler
1069 113773	Yifeng Zheng
1072 113774	Mukund Deshpande
2070 113779	Fernando Diaz
1075 113782	Keke Chen
1079 113783	Pavan Reddivari
1080 113784	Vishal Doshi
1084 113785	Andrea S. LaPaugh
1086 113788	Luping Ding
1089 113789	Sriram Padmanabhan
1306 113791	Wen-Chih Peng
1730 113792	Doron Rotem
4198 113793	Jian-Tao Sun
1868 113806	David Wai-Lok Cheung
4337 113807	Ben Kao
1093 113809	J?rg Diederich
1095 113813	Krishna Prasad Chitrapura
1096 113814	Srinivas R. Kashyap
1098 113815	Miles Efron
3027 113821	Wook-Shin Han
1375 113822	Kyu-Young Whang
3649 113824	Christoph F. Eick
2855 113828	Eugene Inseok Chong
2856 113829	Souripriya Das
2857 113830	Chuck Freiwald
2858 113831	Mahesh Jagannath
2859 113832	Anh-Tuan Tran
2860 113833	Ramkumar Krishnan
1102 113835	Gautam Shanbhag
1103 113836	Roger Zimmermann
1106 113837	Kiam Choo
1107 113838	Rajat Mukherjee
1108 113839	Rami Smair
1110 113841	Greg Pass
4305 113845	Kun-Ta Chuang
1115 113848	Chiasen Chung
1120 113851	Wenfei Fan
1121 113852	Xibei Jia
7675 113853	Hangzai Luo
5959 113854	Christina Yip Chung
1125 113861	Kathleen Snyder
1127 113862	Egidio L. Terra
1129 113864	Philip L. Tilker
1130 113865	Allen Quoc-Luan Tran
1131 113866	Kevin Harris
1132 113867	Antonio S. Cheng
1136 113868	Sujoe Bose
1137 113869	Vamsi Chaluvadi
1142 113870	Yair Liberzon
1143 113871	Kfir Ankori
1144 113872	Yonatan Schler
1148 113873	Yaron Kanza
1149 113874	Benny Kimelfeld
1153 113875	Wisam Dakka
1155 113877	Kevyn Collins-Thompson
1156 113878	Jamie Callan
1159 113882	Charles Schweizer
1164 113883	Ying Feng
1167 113884	Alexandru Coman
1168 113885	Mario A. Nascimento
1170 113886	Jack G. Conrad
1171 113887	Daniel P. Dabney
1173 113888	Xi S. Guo
1174 113889	Cindy P. Schriber
1180 113903	Francisco M. Couto
1181 113904	M¨¢rio J. Silva
1182 113905	Pedro Coutinho
1185 113909	Stephen Cronen-Townsend
1186 113910	Yun Zhou
1190 113912	Ronan Cummins
1192 113913	Bruno M. Fonseca
1193 113914	Paulo Braz Golgher
1194 113915	Bruno P?ssas
1197 113916	Fernando A. Das Neves
1208 113917	Stefan Edlund
1209 113918	Jared Jackson
1210 113919	Martin Gerlach
6052 113921	Dmitriy Fradkin
1213 113923	Allison L. Powell
1214 113924	Fredric C. Gey
1215 113925	Natalia Perelman
1217 113927	Moshe Fresko
1220 113937	Like Gao
1221 113938	Zhengrong Yao
1224 113943	Bugra Gedik
1227 113944	Nadia Ghamrawi
1231 113946	Rayid Ghani
1234 113948	Yapin Zhong
1239 113951	Eric J. Glover
1244 113962	Torsten Grabs
1248 113964	Luis Gravano
1249 113965	Richard Lichtenstein
1253 113973	Jinfeng Ni
1262 113984	Mark Hansen
1263 113985	Elizabeth Shriver
1269 113988	Yuuji Hotta
1270 113989	Kazumi Kubota
